sec,eeg,action
0,61,
1,66,
2,74,jump
3,84,left
4,100,
5,100,
6,97,
7,96,bonus
8,88,bonus
9,94,jump
10,96,jump
11,87,break
12,84,bonus
13,78,jump
14,81,
15,84,jump
16,84,jump
17,80,jump
18,78,jump
19,81,jump
20,81,
21,84,kill goomba
22,91,jump
23,84,jump
24,80,
25,63,
26,66,jump
27,74,
28,88,break
29,100,jump
30,100,jump
31,88,
32,78,
33,74,jump
34,77,jump
35,83,right
36,84,break
37,83,jump
38,81,hit koopa
39,78,bonus
40,88,bonus
41,100,bonus
42,100,jump
43,100,right
44,100,mushroom
45,67,break
46,57,jump
47,51,right
48,94,jump
49,100,jump
50,100,jump
51,93,jump
52,84,jump
53,77,jump
54,74,jump
55,78,jump
56,75,kill goomba
57,67,break
58,64,break
59,70,left
60,64,right
61,90,jump
62,94,jump
63,94,
64,91,right
65,81,left
66,70,jump
