sec,eeg,action
0,24,
1,0,
2,65,
3,13,
4,41,
5,88,
6,58,
7,15,
8,38,
9,42,
10,44,
11,80,
12,46,
13,79,
14,99,
15,58,
16,96,right
17,79,
18,13,
19,67,
20,5,
21,45,
22,7,
23,70,
24,23,jump
25,44,
26,22,
27,67,
28,96,
29,65,
30,54,
31,61,
32,43,
33,82,
34,29,
35,78,
36,34,
37,66,
38,35,
39,64,
40,99,
41,35,
42,40,
43,60,
44,33,
45,8,
46,47,
47,89,
48,10,
49,76,
50,63,
51,58,
52,57,
53,79,
54,69,
55,97,
56,87,
57,69,
58,81,
59,35,
60,54,
61,74,
62,26,
63,18,
64,12,
65,67,
66,64,
67,11,
68,23,
69,71,
70,49,
71,20,
72,12,
73,10,
74,33,
75,47,
76,15,
77,32,
78,93,
79,18,
80,11,
81,6,
82,60,
83,21,jump
84,67,
85,75,
86,77,
87,87,
88,57,
89,37,
90,40,
91,89,
92,73,
93,6,
94,1,
95,9,
96,96,
97,82,
98,68,
99,57,
100,68,
101,30,
102,12,
103,1,
104,21,
105,56,
106,66,
107,36,
108,76,
109,32,
110,35,
111,42,
112,44,
113,49,
114,20,
115,65,
116,25,right
117,64,
118,12,
119,4,jump
120,63,
121,46,
122,1,
123,10,
124,11,
125,23,
126,96,
127,47,jump
128,16,
129,87,
130,73,
131,3,
132,53,
133,35,
134,61,
135,11,
136,47,right
137,49,jump
138,71,
139,83,
140,44,
141,13,
142,93,
143,40,
144,16,
145,60,
146,73,
147,74,
148,63,
149,22,
150,34,
151,97,
152,81,right
153,82,right
154,54,
155,99,
156,53,
157,32,
158,19,jump
159,89,
160,15,
161,49,
162,89,
163,38,hit koopa
164,99,
165,94,
166,26,hit koopa
167,23,
168,30,
169,55,
170,82,kill goomba
171,35,right
172,71,
173,11,
174,22,jump
175,88,
176,67,
177,1,
178,14,
179,56,
180,95,
181,1,
182,62,
183,42,
184,89,
185,78,
186,42,
187,43,
188,24,
189,86,
190,94,
191,75,
