sec,eeg,action
0,47,
1,37,
2,37,
3,40,
4,48,jump
5,47,
6,29,
7,27,jump
8,16,
9,11,jump
10,26,
11,37,jump
12,27,jump
13,40,jump
14,40,right
15,40,
16,40,
17,29,
18,23,jump
19,41,right
20,34,
21,34,
22,50,
23,48,jump
24,29,jump
25,20,jump
26,17,right
27,38,jump
28,43,right
29,51,jump
30,44,jump
31,44,right
32,44,
33,37,
34,37,right
35,37,
36,37,
37,38,
38,47,
39,40,
40,50,right
41,50,jump
42,57,bonus
43,56,right
44,47,mushroom
45,41,jump
46,27,hurt goomba
47,23,
48,34,jump
49,35,jump
50,43,bonus
51,40,bonus
52,37,jump
53,37,jump
54,30,
