sec,eeg,action
0,26,
1,29,
2,26,
3,23,
4,27,
5,21,right
6,21,
7,16,left
8,20,jump
9,11,bonus
10,3,
11,4,
12,17,jump
13,20,jump
14,14,jump
15,16,jump
16,20,jump
17,21,jump
18,34,right
19,27,jump
20,20,jump
21,13,right
22,7,
23,3,
24,4,jump
25,7,break
26,11,mushroom
27,8,right
28,3,kill goomba
29,1,bonus
30,16,
31,14,
32,10,
33,3,jump
34,1,hit koopa
35,1,bonus
36,1,bonus
37,1,bonus
38,1,left
39,1,
40,1,kill goomba
41,1,kill goomba
42,1,jump
43,1,jump
44,1,
45,1,jump
46,1,jump
47,1,jump
48,3,
49,14,right
50,26,jump
51,17,
52,17,right
53,11,right
54,13,jump
55,11,jump
56,7,
57,7,jump
58,7,
59,7,
60,7,
61,23,jump
