sec,eeg,action
0,76,
1,80,
2,30,
3,56,
4,55,
5,18,
6,54,
7,5,
8,92,
9,89,
10,22,
11,15,
12,54,
13,38,
14,99,
15,66,
16,36,
17,43,
18,45,
19,20,
20,18,
21,0,
22,81,
23,77,jump
24,18,bonus
25,54,
26,62,
27,62,jump
28,18,
29,7,
30,75,
31,84,jump
32,32,bonus
33,47,
34,74,
35,13,
36,50,
37,49,jump
38,65,bonus
39,16,
40,55,
41,44,
42,96,
43,65,
44,63,
45,41,
46,38,
47,93,
48,23,
49,65,
50,50,
51,98,
52,69,
53,7,
54,53,
55,9,
56,95,
57,39,jump
58,43,
59,22,
60,23,
61,74,
62,29,jump
63,45,mushroom
64,44,
65,21,
66,37,
67,6,
68,22,
69,58,
70,22,
71,93,
72,20,
73,18,
74,73,
75,91,
76,41,
77,98,
78,42,
79,32,
80,66,
81,49,
82,67,
83,52,
84,19,
85,55,
86,5,
87,92,
88,69,
89,89,
90,64,
91,54,
92,89,
93,17,
94,99,
95,47,
96,74,
97,72,
98,85,
99,25,
100,4,
101,79,
102,18,
103,75,
104,54,
105,33,
106,89,
107,54,
108,64,
109,26,
110,35,
111,87,
112,19,
113,34,
114,47,
115,20,
116,31,
117,68,jump
118,42,
119,28,
120,47,
121,8,
122,44,
123,10,kill goomba
124,8,
125,44,
126,56,hurt koopa
127,78,
128,75,
129,80,
130,94,kill goomba
131,91,
132,39,
133,80,
134,65,
135,54,
136,75,
137,80,jump
138,53,
139,95,
140,62,
141,2,
142,76,
143,25,
144,44,
145,8,
146,58,
147,60,jump
148,51,
149,79,
150,11,
151,98,
152,39,
153,77,
154,19,
155,78,
156,5,
157,32,
158,27,
159,51,
160,88,
161,40,jump
162,24,
163,75,
164,98,
165,43,
166,65,
167,87,kill goomba
168,82,
169,48,hit koopa
170,68,
171,34,
172,54,
173,13,hit koopa
174,10,
175,26,
176,87,hit koopa
177,38,
178,79,
179,59,hit koopa
180,85,
181,14,
182,92,
183,54,
184,81,jump
185,93,
186,48,
187,10,
188,41,
189,10,
190,50,
191,5,
192,76,
193,3,
194,41,
195,88,
196,22,
197,11,
198,61,
199,80,
200,15,
201,86,
202,95,
203,12,
204,47,
205,70,
206,3,
207,54,
208,41,
209,24,
210,93,
211,31,
212,89,
213,48,
214,53,
215,28,
216,99,
217,65,
218,86,
219,29,
220,17,hit koopa
221,6,
222,88,
223,13,hit koopa
224,51,
225,32,
226,52,hit koopa
227,47,
228,16,
229,68,
230,63,hit koopa
231,96,
232,17,
233,80,hit koopa
234,77,jump
235,99,
236,53,
237,21,
238,78,
239,91,
240,60,
241,28,
242,99,
243,46,
244,65,jump
245,43,
246,51,
247,99,
248,0,
249,33,
250,35,
251,36,
252,31,
253,18,
254,49,
255,42,
256,43,
257,12,
258,5,
259,45,
260,24,
261,79,
262,44,
263,95,
264,56,
265,93,
266,65,
267,14,
268,5,
269,22,
270,13,
271,19,
272,13,jump
273,65,
274,89,
275,60,
276,27,
277,47,
278,49,
279,50,jump
280,84,
281,10,
282,68,
283,43,
284,8,
285,38,
286,46,jump
287,43,
288,51,
289,22,
290,1,
291,81,
292,59,
293,59,
294,29,
295,25,
296,38,
297,27,
298,2,
299,89,
300,76,
301,70,
302,40,
303,97,
304,3,
305,7,
306,13,
307,52,
308,23,
309,49,jump
310,52,
311,27,
312,93,
313,23,
314,42,
315,99,
316,53,
317,72,
318,59,
319,56,
320,35,
321,63,
322,70,
323,71,
324,37,
325,26,
326,82,
327,74,
328,66,
329,55,
330,45,
331,78,
332,56,
333,44,
334,4,jump
335,74,
336,27,
337,59,
338,54,
339,48,
340,19,
341,64,
342,80,
343,8,
344,21,
345,71,
346,38,
347,0,
348,92,
349,85,kill goomba
350,10,
351,69,
352,61,
353,29,
354,62,
355,39,
356,52,
357,31,
358,13,
359,12,
360,6,
361,7,
362,41,
363,99,
364,55,
365,95,
366,64,
367,82,
368,0,
369,83,
370,71,
371,95,
372,12,
373,88,
374,27,jump
375,38,
376,50,
377,17,
