sec,eeg,action
0,78,
1,75,
2,39,
3,11,
4,71,
5,19,
6,2,
7,79,
8,34,
9,48,
10,98,
11,85,
12,4,
13,65,
14,66,
15,41,
16,64,
17,28,
18,27,
19,98,
20,91,
21,76,
22,8,
23,59,
24,54,
25,4,
26,81,
27,43,
28,42,
29,17,
30,72,
31,2,
32,89,
33,63,
34,84,
35,90,
36,68,
37,20,
38,72,
39,2,
40,8,
41,7,
42,86,
43,41,
44,89,
45,11,
46,65,
47,75,
48,29,
49,48,
50,24,
51,48,
52,96,
53,70,
54,80,
55,41,
56,48,
57,59,
58,17,
59,12,
60,4,
61,3,
62,53,
63,15,
64,97,
65,85,
66,60,
67,48,
68,53,jump
69,70,
70,24,
71,80,
72,27,
73,18,
74,4,hit koopa
75,84,
76,71,
77,66,
78,30,
79,90,jump
80,94,
81,64,
82,91,
83,52,
84,4,
85,89,
86,90,
87,32,jump
88,32,
89,79,
90,96,
91,3,
92,33,
93,47,
94,41,
95,63,
96,41,
97,21,
98,93,
99,38,
100,26,
101,58,
102,97,
103,62,
104,4,
105,50,
106,74,
107,33,
108,35,
109,79,
110,31,
111,52,
112,29,
113,78,
114,40,
115,39,jump
116,17,
117,4,
118,13,
119,92,
120,94,jump
121,14,
122,65,kill goomba
123,42,
124,59,
125,2,kill goomba
126,86,
127,20,
128,67,
129,36,
130,29,
131,61,jump
132,4,
133,34,
134,88,
135,41,
136,10,
137,15,
138,78,
139,30,
140,14,jump
141,66,bonus
142,4,
143,44,
144,70,
145,71,jump
146,1,bonus
147,88,
148,82,
149,17,
150,67,
151,97,jump
152,72,
153,90,
154,95,
155,91,
156,81,
157,9,
158,6,
159,65,
160,57,jump
161,20,
162,1,
163,83,
164,8,
165,91,
166,61,
167,26,
168,89,
169,18,
170,27,jump
171,78,
172,26,
173,82,
174,74,
175,18,
176,6,
177,25,jump
178,51,
179,55,
180,35,
181,31,
182,50,
183,45,
184,34,
185,79,
186,42,jump
187,66,
188,47,
189,32,
190,7,
191,30,
192,52,
193,70,
194,32,
195,62,jump
196,18,
197,35,
198,33,
199,33,
200,77,
201,48,
202,99,
203,1,
204,48,jump
205,30,
206,54,
207,72,
208,87,
209,10,
210,99,
211,76,jump
212,17,
213,4,
214,11,
215,77,
216,92,
217,33,
218,47,jump
219,80,
220,9,
221,3,
222,13,
223,44,
224,47,
225,14,
226,20,
227,68,
228,66,
229,89,jump
230,63,
231,86,
232,22,
233,60,
234,3,
235,54,
236,29,
237,16,jump
238,66,
239,94,
240,56,
241,91,
242,26,
243,26,
244,71,
245,1,
246,31,
247,36,jump
248,17,
249,15,
250,25,
251,74,
252,36,
253,54,
254,1,
255,1,
256,81,
257,8,jump
258,62,
259,24,
260,88,
261,90,
262,86,
263,69,
264,88,kill goomba
265,45,
266,67,jump
267,27,kill goomba
268,76,
269,61,
270,87,
271,45,kill goomba
272,6,
273,67,
274,12,
275,74,
276,75,
277,9,
278,98,
279,29,
280,9,
281,72,
282,79,
283,5,
284,28,
285,6,
286,55,
287,52,
288,75,
289,1,
290,57,
291,89,
292,8,
293,49,
294,46,
295,71,
296,13,
297,73,
298,0,
299,75,
300,82,
301,76,
302,77,
303,22,
304,67,
305,22,
306,34,
307,67,
308,94,
309,59,
310,37,
311,76,
312,33,
313,80,
314,60,
315,5,
316,98,
317,57,
318,50,
319,84,
320,86,
321,40,
322,78,
323,91,
324,32,
325,58,
326,19,
327,32,
328,98,
329,81,
330,9,
331,85,
332,56,
333,20,
334,43,
335,96,
336,92,
337,91,
338,42,
339,39,
340,6,
341,21,
342,6,
343,77,
344,79,
345,33,
346,23,
347,62,
348,13,
349,59,
350,80,
351,71,
352,45,
353,34,
354,14,
355,74,
356,68,
357,0,
358,38,
359,59,
360,32,
361,42,
362,60,
363,47,
364,78,
365,44,
366,24,
367,90,
368,2,
369,26,
370,61,
371,94,
372,84,
373,87,
374,21,
375,97,
376,56,
377,62,
378,42,
379,7,
380,75,
381,75,
382,37,
383,18,
384,58,
385,86,jump
386,29,
387,61,
388,57,
389,64,
390,1,
391,13,
392,35,
393,26,jump
394,96,
395,71,
396,4,
397,38,
398,1,
399,7,
400,90,
401,65,
402,4,jump
403,43,
404,72,
405,39,
406,98,
407,37,
408,54,
409,14,
410,12,
411,62,
412,61,
413,23,
414,88,
415,23,
416,39,
417,62,jump
418,30,
419,85,
