sec,eeg,action
0,36,
1,55,
2,89,
3,60,
4,99,
5,92,
6,40,
7,84,
8,15,
9,78,
10,0,
11,25,
12,2,
13,12,
14,57,
15,32,
16,78,
17,54,
18,39,
19,91,
20,41,
21,13,
22,71,
23,15,
24,29,
25,78,
26,32,
27,70,
28,34,
29,2,
30,12,
31,78,
32,12,
33,56,
34,33,
35,59,
36,33,
37,80,
38,2,
39,81,
40,87,
41,2,
42,11,
43,18,
44,15,
45,63,
46,23,
47,25,
48,55,
49,12,
50,37,
51,61,
52,4,
53,73,
54,49,
55,71,
56,90,
57,61,
58,63,
59,59,
60,87,
61,16,
62,81,
63,79,
64,54,
65,82,
66,97,
67,47,
68,33,
69,27,
70,10,
71,25,
72,46,
73,13,
74,87,
75,34,
76,89,
77,48,
78,35,
79,88,
80,15,
81,64,
82,39,
83,51,
84,27,
85,3,
86,42,
87,12,
88,1,
89,61,
90,52,jump
91,49,
92,41,
93,56,
94,27,
95,59,
96,21,hit koopa
97,86,
98,88,
99,10,hit koopa
100,14,
101,66,
102,42,
103,13,kill goomba
104,48,
105,58,
106,99,
107,76,
108,57,
109,24,
110,97,
111,47,
112,78,
113,27,
114,45,
115,36,
116,30,
117,20,
118,57,
119,6,
120,92,
121,98,
122,69,jump
123,81,
124,26,
125,79,
126,97,
127,38,
128,54,
129,12,kill goomba
130,78,
131,13,
132,43,kill goomba
133,47,
134,92,
135,75,kill goomba
136,93,
137,63,
138,5,
139,98,
140,34,
141,92,jump
142,36,
143,8,
144,47,
145,63,
146,8,
147,60,
148,10,
149,33,
150,78,jump
151,7,
152,67,
153,32,
154,25,
155,7,
156,27,
157,49,
158,44,
159,93,jump
160,67,
161,60,
162,26,
163,87,
164,0,
165,2,
166,11,
167,5,
168,16,
169,91,
170,47,
171,96,
172,35,
173,66,
174,28,
175,68,
176,68,
177,58,
178,76,
179,85,
180,9,
181,19,
182,38,
183,28,
184,20,
185,76,
186,98,
187,3,
188,12,
189,42,
190,21,
191,52,
192,73,jump
193,24,
194,94,
195,76,
196,28,
197,44,
198,63,
199,41,
200,77,jump
201,77,
202,37,
203,66,
204,77,
205,63,
206,20,
207,18,jump
208,69,
209,60,
210,86,
211,11,
212,68,
213,61,
214,21,kill goomba
215,47,
216,71,
217,47,
218,58,
219,19,jump
220,6,
221,86,
222,79,
223,50,
224,16,
225,47,
226,95,jump
227,27,
228,19,
229,72,
230,77,
231,63,
232,55,
233,27,
234,21,
235,1,
236,29,
237,31,
238,37,jump
239,17,
240,55,
241,4,
242,64,
243,13,
244,24,
245,8,
246,69,
247,60,
248,56,
