sec,eeg,action
0,0,
1,0,
2,0,jump
3,0,
4,54,
5,37,
6,23,
7,16,
8,1,jump
9,20,
10,21,jump
11,44,jump
12,48,jump
13,21,jump
14,20,
15,1,jump
16,1,
17,1,jump
18,3,jump
19,1,jump
20,13,jump
21,24,
22,24,jump
23,47,
24,53,jump
25,54,break
26,50,mushroom
27,44,jump
28,44,jump
29,56,jump
30,53,bonus
31,54,
32,35,bonus
33,26,
34,47,jump
35,30,jump
36,23,bonus
37,10,bonus
38,1,jump
39,17,jump
40,40,jump
41,60,
42,47,jump
43,38,jump
44,21,
45,20,jump
46,21,jump
47,29,jump
48,34,jump
49,30,jump
50,21,jump
